counterparty_id,counterparty_name,bank_name,country,risk_category
CP-0192,Counterparty Entity 192,Axis Bank,IND,NORMAL
CP-0193,Counterparty Entity 193,ICICI Bank,IND,NORMAL
CP-0194,Counterparty Entity 194,ICICI Bank,IND,NORMAL
CP-0195,Counterparty Entity 195,Kotak Bank,IND,NORMAL
CP-0196,Counterparty Entity 196,Axis Bank,IND,NORMAL
CP-0197,Counterparty Entity 197,Kotak Bank,IND,NORMAL
CP-0198,Counterparty Entity 198,Kotak Bank,IND,NORMAL
CP-0199,Counterparty Entity 199,SBI,IND,NORMAL
CP-0200,Counterparty Entity 200,SBI,IND,HIGH_RISK
CP-0201,Counterparty Entity 201,Axis Bank,IND,NORMAL
CP-0202,Counterparty Entity 202,SBI,IND,NORMAL
CP-0203,Counterparty Entity 203,Kotak Bank,IND,NORMAL
CP-0204,Counterparty Entity 204,SBI,IND,NORMAL
CP-0205,Counterparty Entity 205,HDFC Bank,IND,NORMAL
CP-0206,Counterparty Entity 206,Axis Bank,IND,NORMAL
CP-0207,Counterparty Entity 207,SBI,IND,NORMAL
CP-0208,Counterparty Entity 208,HDFC Bank,IND,NORMAL
CP-0209,Counterparty Entity 209,HDFC Bank,IND,NORMAL
CP-0210,Counterparty Entity 210,SBI,IND,HIGH_RISK
CP-0211,Counterparty Entity 211,SBI,IND,NORMAL
CP-0212,Counterparty Entity 212,Axis Bank,IND,NORMAL
CP-0213,Counterparty Entity 213,Kotak Bank,IND,NORMAL
CP-0214,Counterparty Entity 214,Kotak Bank,IND,NORMAL
CP-0215,Counterparty Entity 215,HDFC Bank,IND,NORMAL
CP-0216,Counterparty Entity 216,Kotak Bank,IND,NORMAL
CP-0217,Counterparty Entity 217,ICICI Bank,IND,NORMAL
CP-0218,Counterparty Entity 218,Kotak Bank,IND,NORMAL
CP-0219,Counterparty Entity 219,SBI,IND,NORMAL
CP-0220,Counterparty Entity 220,Axis Bank,IND,HIGH_RISK
CP-0221,Counterparty Entity 221,SBI,IND,NORMAL
CP-0222,Counterparty Entity 222,SBI,IND,NORMAL
CP-0223,Counterparty Entity 223,Axis Bank,IND,NORMAL
CP-0224,Counterparty Entity 224,SBI,IND,NORMAL
CP-0225,Counterparty Entity 225,HDFC Bank,IND,NORMAL
CP-0226,Counterparty Entity 226,SBI,IND,NORMAL
CP-0227,Counterparty Entity 227,HDFC Bank,IND,NORMAL
CP-0228,Counterparty Entity 228,ICICI Bank,IND,NORMAL
CP-0229,Counterparty Entity 229,HDFC Bank,IND,NORMAL
CP-0230,Counterparty Entity 230,ICICI Bank,IND,HIGH_RISK
CP-0231,Counterparty Entity 231,Kotak Bank,IND,NORMAL
CP-0232,Counterparty Entity 232,SBI,IND,NORMAL
CP-0233,Counterparty Entity 233,HDFC Bank,IND,NORMAL
CP-0234,Counterparty Entity 234,SBI,IND,NORMAL
CP-0235,Counterparty Entity 235,SBI,IND,NORMAL
CP-0236,Counterparty Entity 236,Kotak Bank,IND,NORMAL
CP-0237,Counterparty Entity 237,Axis Bank,IND,NORMAL
CP-0238,Counterparty Entity 238,ICICI Bank,IND,NORMAL
CP-0239,Counterparty Entity 239,HDFC Bank,IND,NORMAL
CP-0240,Counterparty Entity 240,Axis Bank,IND,HIGH_RISK
CP-0241,Counterparty Entity 241,HDFC Bank,IND,NORMAL
CP-0242,Counterparty Entity 242,Axis Bank,IND,NORMAL
CP-0243,Counterparty Entity 243,Axis Bank,IND,NORMAL
CP-0244,Counterparty Entity 244,ICICI Bank,IND,NORMAL
CP-0245,Counterparty Entity 245,HDFC Bank,IND,NORMAL
CP-0246,Counterparty Entity 246,ICICI Bank,IND,NORMAL
CP-0247,Counterparty Entity 247,ICICI Bank,IND,NORMAL
CP-0248,Counterparty Entity 248,SBI,IND,NORMAL
CP-0249,Counterparty Entity 249,Kotak Bank,IND,NORMAL
CP-0250,Counterparty Entity 250,HDFC Bank,IND,HIGH_RISK
CP-0251,Counterparty Entity 251,HDFC Bank,IND,NORMAL
CP-0252,Counterparty Entity 252,SBI,IND,NORMAL
CP-0253,Counterparty Entity 253,Axis Bank,IND,NORMAL
CP-0254,Counterparty Entity 254,Axis Bank,IND,NORMAL
CP-0255,Counterparty Entity 255,Kotak Bank,IND,NORMAL
CP-0256,Counterparty Entity 256,HDFC Bank,IND,NORMAL
CP-0257,Counterparty Entity 257,ICICI Bank,IND,NORMAL
CP-0258,Counterparty Entity 258,HDFC Bank,IND,NORMAL
CP-0259,Counterparty Entity 259,ICICI Bank,IND,NORMAL
CP-0260,Counterparty Entity 260,SBI,IND,HIGH_RISK
CP-0261,Counterparty Entity 261,Axis Bank,IND,NORMAL
CP-0262,Counterparty Entity 262,Kotak Bank,IND,NORMAL
CP-0263,Counterparty Entity 263,ICICI Bank,IND,NORMAL
CP-0264,Counterparty Entity 264,ICICI Bank,IND,NORMAL
CP-0265,Counterparty Entity 265,Axis Bank,IND,NORMAL
CP-0266,Counterparty Entity 266,Axis Bank,IND,NORMAL
CP-0267,Counterparty Entity 267,SBI,IND,NORMAL
CP-0268,Counterparty Entity 268,Axis Bank,IND,NORMAL
CP-0269,Counterparty Entity 269,Kotak Bank,IND,NORMAL
CP-0270,Counterparty Entity 270,Axis Bank,IND,HIGH_RISK
CP-0271,Counterparty Entity 271,Axis Bank,IND,NORMAL
CP-0272,Counterparty Entity 272,Axis Bank,IND,NORMAL
CP-0273,Counterparty Entity 273,ICICI Bank,IND,NORMAL
CP-0274,Counterparty Entity 274,SBI,IND,NORMAL
CP-0275,Counterparty Entity 275,HDFC Bank,IND,NORMAL
CP-0276,Counterparty Entity 276,Kotak Bank,IND,NORMAL
CP-0277,Counterparty Entity 277,SBI,IND,NORMAL
CP-0278,Counterparty Entity 278,HDFC Bank,IND,NORMAL
CP-0279,Counterparty Entity 279,Kotak Bank,IND,NORMAL
CP-0280,Counterparty Entity 280,Axis Bank,IND,HIGH_RISK
CP-0281,Counterparty Entity 281,HDFC Bank,IND,NORMAL
CP-0282,Counterparty Entity 282,Axis Bank,IND,NORMAL
CP-0283,Counterparty Entity 283,ICICI Bank,IND,NORMAL
CP-0284,Counterparty Entity 284,Kotak Bank,IND,NORMAL
CP-0285,Counterparty Entity 285,ICICI Bank,IND,NORMAL
CP-0286,Counterparty Entity 286,SBI,IND,NORMAL
CP-0287,Counterparty Entity 287,SBI,IND,NORMAL
CP-0288,Counterparty Entity 288,ICICI Bank,IND,NORMAL
CP-0289,Counterparty Entity 289,HDFC Bank,IND,NORMAL
CP-0290,Counterparty Entity 290,Axis Bank,IND,HIGH_RISK
CP-0291,Counterparty Entity 291,SBI,IND,NORMAL
CP-0292,Counterparty Entity 292,Axis Bank,IND,NORMAL
CP-0293,Counterparty Entity 293,ICICI Bank,IND,NORMAL
CP-0294,Counterparty Entity 294,ICICI Bank,IND,NORMAL
CP-0295,Counterparty Entity 295,HDFC Bank,IND,NORMAL
CP-0296,Counterparty Entity 296,Axis Bank,IND,NORMAL
CP-0297,Counterparty Entity 297,ICICI Bank,IND,NORMAL
CP-0298,Counterparty Entity 298,ICICI Bank,IND,NORMAL
CP-0299,Counterparty Entity 299,Kotak Bank,IND,NORMAL
CP-0300,Counterparty Entity 300,SBI,IND,HIGH_RISK
CP-0301,Counterparty Entity 301,HDFC Bank,IND,NORMAL
CP-0302,Counterparty Entity 302,SBI,IND,NORMAL
CP-0303,Counterparty Entity 303,HDFC Bank,IND,NORMAL
CP-0304,Counterparty Entity 304,HDFC Bank,IND,NORMAL
CP-0305,Counterparty Entity 305,Axis Bank,IND,NORMAL
CP-0306,Counterparty Entity 306,SBI,IND,NORMAL
CP-0307,Counterparty Entity 307,ICICI Bank,IND,NORMAL
CP-0308,Counterparty Entity 308,Kotak Bank,IND,NORMAL
CP-0309,Counterparty Entity 309,HDFC Bank,IND,NORMAL
CP-0310,Counterparty Entity 310,Kotak Bank,IND,HIGH_RISK
CP-0311,Counterparty Entity 311,Kotak Bank,IND,NORMAL
CP-0312,Counterparty Entity 312,HDFC Bank,IND,NORMAL
CP-0313,Counterparty Entity 313,HDFC Bank,IND,NORMAL
CP-0314,Counterparty Entity 314,ICICI Bank,IND,NORMAL
CP-0315,Counterparty Entity 315,HDFC Bank,IND,NORMAL
CP-0316,Counterparty Entity 316,SBI,IND,NORMAL
CP-0317,Counterparty Entity 317,SBI,IND,NORMAL
CP-0318,Counterparty Entity 318,Kotak Bank,IND,NORMAL
CP-0319,Counterparty Entity 319,Kotak Bank,IND,NORMAL
CP-0320,Counterparty Entity 320,SBI,IND,HIGH_RISK
CP-0321,Counterparty Entity 321,ICICI Bank,IND,NORMAL
CP-0322,Counterparty Entity 322,ICICI Bank,IND,NORMAL
CP-0323,Counterparty Entity 323,HDFC Bank,IND,NORMAL
CP-0324,Counterparty Entity 324,HDFC Bank,IND,NORMAL
CP-0325,Counterparty Entity 325,Axis Bank,IND,NORMAL
CP-0326,Counterparty Entity 326,HDFC Bank,IND,NORMAL
CP-0327,Counterparty Entity 327,ICICI Bank,IND,NORMAL
CP-0328,Counterparty Entity 328,HDFC Bank,IND,NORMAL
CP-0329,Counterparty Entity 329,SBI,IND,NORMAL
CP-0330,Counterparty Entity 330,SBI,IND,HIGH_RISK
CP-0331,Counterparty Entity 331,HDFC Bank,IND,NORMAL
CP-0332,Counterparty Entity 332,Axis Bank,IND,NORMAL
CP-0333,Counterparty Entity 333,Axis Bank,IND,NORMAL
CP-0334,Counterparty Entity 334,SBI,IND,NORMAL
CP-0335,Counterparty Entity 335,Kotak Bank,IND,NORMAL
CP-0336,Counterparty Entity 336,SBI,IND,NORMAL
CP-0337,Counterparty Entity 337,Axis Bank,IND,NORMAL
CP-0338,Counterparty Entity 338,Kotak Bank,IND,NORMAL
CP-0339,Counterparty Entity 339,SBI,IND,NORMAL
CP-0340,Counterparty Entity 340,HDFC Bank,IND,HIGH_RISK
CP-0341,Counterparty Entity 341,HDFC Bank,IND,NORMAL
CP-0342,Counterparty Entity 342,Axis Bank,IND,NORMAL
CP-0343,Counterparty Entity 343,Kotak Bank,IND,NORMAL
CP-0344,Counterparty Entity 344,SBI,IND,NORMAL
CP-0345,Counterparty Entity 345,ICICI Bank,IND,NORMAL
CP-0346,Counterparty Entity 346,Axis Bank,IND,NORMAL
CP-0347,Counterparty Entity 347,HDFC Bank,IND,NORMAL
CP-0348,Counterparty Entity 348,ICICI Bank,IND,NORMAL
CP-0349,Counterparty Entity 349,HDFC Bank,IND,NORMAL
CP-0350,Counterparty Entity 350,SBI,IND,HIGH_RISK
CP-0351,Counterparty Entity 351,Axis Bank,IND,NORMAL
CP-0352,Counterparty Entity 352,HDFC Bank,IND,NORMAL
CP-0353,Counterparty Entity 353,Axis Bank,IND,NORMAL
CP-0354,Counterparty Entity 354,Axis Bank,IND,NORMAL
CP-0355,Counterparty Entity 355,Kotak Bank,IND,NORMAL
CP-0356,Counterparty Entity 356,HDFC Bank,IND,NORMAL
CP-0357,Counterparty Entity 357,ICICI Bank,IND,NORMAL
CP-0358,Counterparty Entity 358,ICICI Bank,IND,NORMAL
CP-0359,Counterparty Entity 359,ICICI Bank,IND,NORMAL
CP-0360,Counterparty Entity 360,Axis Bank,IND,HIGH_RISK
CP-0361,Counterparty Entity 361,Axis Bank,IND,NORMAL
CP-0362,Counterparty Entity 362,SBI,IND,NORMAL
CP-0363,Counterparty Entity 363,ICICI Bank,IND,NORMAL
CP-0364,Counterparty Entity 364,Kotak Bank,IND,NORMAL
CP-0365,Counterparty Entity 365,SBI,IND,NORMAL
CP-0366,Counterparty Entity 366,SBI,IND,NORMAL
CP-0367,Counterparty Entity 367,Kotak Bank,IND,NORMAL
CP-0368,Counterparty Entity 368,Kotak Bank,IND,NORMAL
CP-0369,Counterparty Entity 369,Kotak Bank,IND,NORMAL
CP-0370,Counterparty Entity 370,Kotak Bank,IND,HIGH_RISK
CP-0371,Counterparty Entity 371,HDFC Bank,IND,NORMAL
CP-0372,Counterparty Entity 372,Axis Bank,IND,NORMAL
CP-0373,Counterparty Entity 373,ICICI Bank,IND,NORMAL
CP-0374,Counterparty Entity 374,HDFC Bank,IND,NORMAL
CP-0375,Counterparty Entity 375,ICICI Bank,IND,NORMAL
CP-0376,Counterparty Entity 376,Axis Bank,IND,NORMAL
CP-0377,Counterparty Entity 377,Kotak Bank,IND,NORMAL
CP-0378,Counterparty Entity 378,Axis Bank,IND,NORMAL
CP-0379,Counterparty Entity 379,Kotak Bank,IND,NORMAL
CP-0380,Counterparty Entity 380,SBI,IND,HIGH_RISK
CP-0381,Counterparty Entity 381,ICICI Bank,IND,NORMAL
CP-0382,Counterparty Entity 382,Kotak Bank,IND,NORMAL
CP-0383,Counterparty Entity 383,Kotak Bank,IND,NORMAL
CP-0384,Counterparty Entity 384,SBI,IND,NORMAL
CP-0385,Counterparty Entity 385,SBI,IND,NORMAL
CP-0386,Counterparty Entity 386,Axis Bank,IND,NORMAL
CP-0387,Counterparty Entity 387,ICICI Bank,IND,NORMAL
CP-0388,Counterparty Entity 388,SBI,IND,NORMAL
CP-0389,Counterparty Entity 389,SBI,IND,NORMAL
CP-0390,Counterparty Entity 390,Axis Bank,IND,HIGH_RISK
CP-0391,Counterparty Entity 391,ICICI Bank,IND,NORMAL
CP-0392,Counterparty Entity 392,SBI,IND,NORMAL
CP-0393,Counterparty Entity 393,SBI,IND,NORMAL
CP-0394,Counterparty Entity 394,SBI,IND,NORMAL
CP-0395,Counterparty Entity 395,ICICI Bank,IND,NORMAL
CP-0396,Counterparty Entity 396,HDFC Bank,IND,NORMAL
CP-0397,Counterparty Entity 397,ICICI Bank,IND,NORMAL
CP-0398,Counterparty Entity 398,Kotak Bank,IND,NORMAL
CP-0399,Counterparty Entity 399,HDFC Bank,IND,NORMAL
CP-0400,Counterparty Entity 400,ICICI Bank,IND,HIGH_RISK
CP-0401,Counterparty Entity 401,ICICI Bank,IND,NORMAL
CP-0402,Counterparty Entity 402,HDFC Bank,IND,NORMAL
CP-0403,Counterparty Entity 403,Kotak Bank,IND,NORMAL
CP-0404,Counterparty Entity 404,Kotak Bank,IND,NORMAL
CP-0405,Counterparty Entity 405,Kotak Bank,IND,NORMAL
CP-0406,Counterparty Entity 406,HDFC Bank,IND,NORMAL
CP-0407,Counterparty Entity 407,Kotak Bank,IND,NORMAL
CP-0408,Counterparty Entity 408,ICICI Bank,IND,NORMAL
CP-0409,Counterparty Entity 409,SBI,IND,NORMAL
CP-0410,Counterparty Entity 410,Axis Bank,IND,HIGH_RISK
CP-0411,Counterparty Entity 411,Axis Bank,IND,NORMAL
CP-0412,Counterparty Entity 412,Kotak Bank,IND,NORMAL
CP-0413,Counterparty Entity 413,SBI,IND,NORMAL
CP-0414,Counterparty Entity 414,Kotak Bank,IND,NORMAL
CP-0415,Counterparty Entity 415,HDFC Bank,IND,NORMAL
CP-0416,Counterparty Entity 416,SBI,IND,NORMAL
CP-0417,Counterparty Entity 417,Axis Bank,IND,NORMAL
CP-0418,Counterparty Entity 418,HDFC Bank,IND,NORMAL
