account_id,customer_id,account_type,currency,current_balance,status,opened_at
ACC-0084,CUST-0799,CREDIT_CARD,INR,484672.06,ACTIVE,2024-10-29 00:00:00
ACC-0085,CUST-0986,CREDIT_CARD,INR,48092.32,ACTIVE,2024-11-18 00:00:00
ACC-0086,CUST-0550,CURRENT,INR,276192.06,ACTIVE,2025-11-30 00:00:00
ACC-0087,CUST-0958,CREDIT_CARD,INR,394697.5,ACTIVE,2025-08-18 00:00:00
ACC-0088,CUST-0884,CURRENT,INR,339951.75,ACTIVE,2025-06-15 00:00:00
ACC-0089,CUST-0301,SAVINGS,INR,154638.66,ACTIVE,2024-06-20 00:00:00
ACC-0090,CUST-0383,CURRENT,INR,169181.49,ACTIVE,2024-12-02 00:00:00
ACC-0091,CUST-0207,CURRENT,INR,129387.68,ACTIVE,2025-09-04 00:00:00
ACC-0092,CUST-0847,LOAN,INR,115145.82,ACTIVE,2024-10-10 00:00:00
ACC-0093,CUST-0713,CREDIT_CARD,INR,377130.19,ACTIVE,2025-01-03 00:00:00
ACC-0094,CUST-0807,LOAN,INR,328555.58,ACTIVE,2024-07-27 00:00:00
ACC-0095,CUST-0551,CREDIT_CARD,INR,86681.16,ACTIVE,2024-09-03 00:00:00
ACC-0096,CUST-0068,CREDIT_CARD,INR,379147.81,ACTIVE,2024-11-14 00:00:00
ACC-0097,CUST-0707,SAVINGS,INR,361623.26,ACTIVE,2026-02-25 00:00:00
ACC-0098,CUST-0985,SAVINGS,INR,484710.87,ACTIVE,2025-03-22 00:00:00
ACC-0099,CUST-0230,LOAN,INR,483463.5,ACTIVE,2024-12-14 00:00:00
ACC-0100,CUST-0120,SAVINGS,INR,234639.31,ACTIVE,2024-08-03 00:00:00
ACC-0101,CUST-0725,CREDIT_CARD,INR,76878.11,ACTIVE,2025-04-01 00:00:00
ACC-0102,CUST-0836,CREDIT_CARD,INR,456759.38,ACTIVE,2025-09-14 00:00:00
ACC-0103,CUST-0196,CREDIT_CARD,INR,494780.64,ACTIVE,2025-05-13 00:00:00
ACC-0104,CUST-0380,LOAN,INR,96145.76,ACTIVE,2025-01-14 00:00:00
ACC-0105,CUST-0960,CURRENT,INR,423960.3,ACTIVE,2025-10-14 00:00:00
ACC-0106,CUST-0453,CREDIT_CARD,INR,163409.82,ACTIVE,2024-08-14 00:00:00
ACC-0107,CUST-0140,LOAN,INR,32381.7,ACTIVE,2024-08-13 00:00:00
ACC-0108,CUST-0898,CURRENT,INR,415545.16,ACTIVE,2025-05-20 00:00:00
ACC-0109,CUST-0567,CURRENT,INR,275013.85,ACTIVE,2025-05-27 00:00:00
ACC-0110,CUST-0119,CREDIT_CARD,INR,111883.34,ACTIVE,2024-11-02 00:00:00
ACC-0111,CUST-0668,CURRENT,INR,258546.4,ACTIVE,2025-08-02 00:00:00
ACC-0112,CUST-0703,LOAN,INR,158037.12,ACTIVE,2025-11-15 00:00:00
ACC-0113,CUST-0939,CREDIT_CARD,INR,95818.62,ACTIVE,2024-10-31 00:00:00
ACC-0114,CUST-0927,LOAN,INR,118078.71,ACTIVE,2025-08-22 00:00:00
ACC-0115,CUST-0572,CURRENT,INR,219351.74,ACTIVE,2025-11-09 00:00:00
ACC-0116,CUST-0860,SAVINGS,INR,429859.52,ACTIVE,2025-12-07 00:00:00
ACC-0117,CUST-0627,CURRENT,INR,485675.06,ACTIVE,2026-03-28 00:00:00
ACC-0118,CUST-0037,CURRENT,INR,306533.35,ACTIVE,2024-12-25 00:00:00
ACC-0119,CUST-0572,SAVINGS,INR,163790.61,ACTIVE,2024-12-27 00:00:00
ACC-0120,CUST-0538,CREDIT_CARD,INR,31965.34,ACTIVE,2025-07-06 00:00:00
ACC-0121,CUST-0171,SAVINGS,INR,413796.68,ACTIVE,2025-10-20 00:00:00
ACC-0122,CUST-0480,LOAN,INR,252664.0,ACTIVE,2024-09-09 00:00:00
ACC-0123,CUST-0879,LOAN,INR,127760.94,ACTIVE,2024-05-24 00:00:00
ACC-0124,CUST-0147,LOAN,INR,37131.52,ACTIVE,2026-04-08 00:00:00
ACC-0125,CUST-0804,SAVINGS,INR,332058.95,ACTIVE,2024-06-28 00:00:00
ACC-0126,CUST-0462,SAVINGS,INR,398483.96,ACTIVE,2024-10-22 00:00:00
ACC-0127,CUST-0299,LOAN,INR,260809.96,ACTIVE,2025-10-16 00:00:00
ACC-0128,CUST-0928,CREDIT_CARD,INR,332143.62,ACTIVE,2026-03-17 00:00:00
ACC-0129,CUST-0319,SAVINGS,INR,338608.76,ACTIVE,2026-02-22 00:00:00
ACC-0130,CUST-0987,LOAN,INR,76578.22,ACTIVE,2025-12-21 00:00:00
ACC-0131,CUST-0265,SAVINGS,INR,212019.25,ACTIVE,2024-10-27 00:00:00
ACC-0132,CUST-0432,CURRENT,INR,361037.69,ACTIVE,2025-09-08 00:00:00
ACC-0133,CUST-0505,CREDIT_CARD,INR,362482.05,ACTIVE,2025-08-08 00:00:00
ACC-0134,CUST-0342,CURRENT,INR,279394.88,ACTIVE,2026-04-20 00:00:00
ACC-0135,CUST-0374,SAVINGS,INR,100774.54,ACTIVE,2026-02-12 00:00:00
ACC-0136,CUST-0504,SAVINGS,INR,127284.96,ACTIVE,2026-02-25 00:00:00
ACC-0137,CUST-0223,LOAN,INR,429142.95,ACTIVE,2025-12-03 00:00:00
ACC-0138,CUST-0302,CURRENT,INR,73655.45,ACTIVE,2024-08-01 00:00:00
ACC-0139,CUST-0398,SAVINGS,INR,98803.48,ACTIVE,2024-10-06 00:00:00
ACC-0140,CUST-0702,CREDIT_CARD,INR,223325.18,ACTIVE,2025-09-18 00:00:00
ACC-0141,CUST-0199,LOAN,INR,186881.32,ACTIVE,2025-04-29 00:00:00
ACC-0142,CUST-0863,LOAN,INR,271861.51,ACTIVE,2024-09-17 00:00:00
ACC-0143,CUST-0486,SAVINGS,INR,78498.55,ACTIVE,2025-06-14 00:00:00
ACC-0144,CUST-0672,CURRENT,INR,140372.77,ACTIVE,2026-02-03 00:00:00
ACC-0145,CUST-0211,CURRENT,INR,380610.24,ACTIVE,2025-07-30 00:00:00
ACC-0146,CUST-0520,CURRENT,INR,411882.35,ACTIVE,2025-06-29 00:00:00
ACC-0147,CUST-0975,SAVINGS,INR,317735.29,ACTIVE,2024-11-16 00:00:00
ACC-0148,CUST-0925,CURRENT,INR,151376.1,ACTIVE,2025-12-19 00:00:00
ACC-0149,CUST-0316,SAVINGS,INR,175270.77,ACTIVE,2025-07-27 00:00:00
ACC-0150,CUST-0441,CURRENT,INR,223498.23,ACTIVE,2024-05-31 00:00:00
ACC-0151,CUST-0184,CREDIT_CARD,INR,182462.99,ACTIVE,2026-03-24 00:00:00
ACC-0152,CUST-0384,CURRENT,INR,224144.32,ACTIVE,2024-12-24 00:00:00
ACC-0153,CUST-0872,CREDIT_CARD,INR,14696.32,ACTIVE,2026-04-29 00:00:00
ACC-0154,CUST-0143,CREDIT_CARD,INR,21386.59,ACTIVE,2024-08-25 00:00:00
ACC-0155,CUST-0938,CREDIT_CARD,INR,315975.92,ACTIVE,2026-03-06 00:00:00
ACC-0156,CUST-0721,LOAN,INR,143385.41,ACTIVE,2026-01-29 00:00:00
ACC-0157,CUST-0202,LOAN,INR,470155.33,ACTIVE,2026-02-20 00:00:00
ACC-0158,CUST-0328,SAVINGS,INR,484290.08,ACTIVE,2025-06-13 00:00:00
ACC-0159,CUST-0897,SAVINGS,INR,65092.23,ACTIVE,2024-07-31 00:00:00
ACC-0160,CUST-0077,CREDIT_CARD,INR,54981.17,ACTIVE,2025-01-22 00:00:00
ACC-0161,CUST-0419,CREDIT_CARD,INR,489763.99,ACTIVE,2024-06-16 00:00:00
ACC-0162,CUST-0582,SAVINGS,INR,407844.26,ACTIVE,2025-08-08 00:00:00
ACC-0163,CUST-0266,CREDIT_CARD,INR,86290.31,ACTIVE,2025-05-02 00:00:00
ACC-0164,CUST-0149,LOAN,INR,309446.03,ACTIVE,2025-08-10 00:00:00
ACC-0165,CUST-0122,LOAN,INR,273744.44,ACTIVE,2025-09-24 00:00:00
ACC-0166,CUST-0766,LOAN,INR,33309.96,ACTIVE,2024-04-01 00:00:00
ACC-0167,CUST-0549,CURRENT,INR,294345.71,ACTIVE,2025-02-12 00:00:00
ACC-0168,CUST-0308,CURRENT,INR,274254.88,ACTIVE,2024-05-14 00:00:00
ACC-0169,CUST-0951,LOAN,INR,486812.41,ACTIVE,2024-07-29 00:00:00
ACC-0170,CUST-0627,CREDIT_CARD,INR,454762.24,ACTIVE,2025-07-05 00:00:00
ACC-0171,CUST-0857,LOAN,INR,341253.01,ACTIVE,2025-11-23 00:00:00
ACC-0172,CUST-0965,LOAN,INR,169465.72,ACTIVE,2025-08-23 00:00:00
ACC-0173,CUST-0755,CURRENT,INR,134236.67,ACTIVE,2024-07-07 00:00:00
ACC-0174,CUST-0104,CREDIT_CARD,INR,185970.84,ACTIVE,2025-04-02 00:00:00
ACC-0175,CUST-0062,CREDIT_CARD,INR,460380.43,ACTIVE,2024-08-24 00:00:00
ACC-0176,CUST-0389,CREDIT_CARD,INR,433286.25,ACTIVE,2025-11-01 00:00:00
ACC-0177,CUST-0780,LOAN,INR,492434.44,ACTIVE,2024-05-12 00:00:00
ACC-0178,CUST-0356,SAVINGS,INR,178352.37,ACTIVE,2024-09-24 00:00:00
ACC-0179,CUST-0642,LOAN,INR,349163.28,ACTIVE,2025-01-05 00:00:00
ACC-0180,CUST-0182,LOAN,INR,233047.67,ACTIVE,2025-05-12 00:00:00
ACC-0181,CUST-0699,CURRENT,INR,77673.98,ACTIVE,2024-04-05 00:00:00
ACC-0182,CUST-0430,CREDIT_CARD,INR,62960.15,ACTIVE,2024-05-20 00:00:00
ACC-0183,CUST-0554,CURRENT,INR,177594.91,ACTIVE,2024-11-11 00:00:00
ACC-0184,CUST-0313,LOAN,INR,393157.95,ACTIVE,2025-11-10 00:00:00
ACC-0185,CUST-0942,CURRENT,INR,254119.69,ACTIVE,2025-08-29 00:00:00
ACC-0186,CUST-0680,CURRENT,INR,422378.37,ACTIVE,2025-04-20 00:00:00
ACC-0187,CUST-0359,CURRENT,INR,158094.32,ACTIVE,2025-12-27 00:00:00
ACC-0188,CUST-0131,CREDIT_CARD,INR,169257.71,ACTIVE,2024-08-03 00:00:00
ACC-0189,CUST-0940,SAVINGS,INR,92455.12,ACTIVE,2025-12-19 00:00:00
ACC-0190,CUST-0133,LOAN,INR,251693.41,ACTIVE,2025-02-01 00:00:00
ACC-0191,CUST-0595,LOAN,INR,194076.41,ACTIVE,2025-03-13 00:00:00
ACC-0192,CUST-0887,CREDIT_CARD,INR,358195.88,ACTIVE,2025-07-05 00:00:00
ACC-0193,CUST-0469,CURRENT,INR,85524.19,ACTIVE,2025-05-05 00:00:00
ACC-0194,CUST-0444,LOAN,INR,71137.55,ACTIVE,2024-11-16 00:00:00
ACC-0195,CUST-0456,LOAN,INR,430945.58,ACTIVE,2026-02-23 00:00:00
ACC-0196,CUST-0934,CURRENT,INR,421430.22,ACTIVE,2026-03-03 00:00:00
ACC-0197,CUST-0968,CURRENT,INR,423749.01,ACTIVE,2024-09-06 00:00:00
ACC-0198,CUST-0197,CURRENT,INR,499787.28,ACTIVE,2025-06-09 00:00:00
ACC-0199,CUST-0108,LOAN,INR,243337.19,ACTIVE,2024-10-30 00:00:00
ACC-0200,CUST-0457,CREDIT_CARD,INR,184348.0,ACTIVE,2025-04-04 00:00:00
ACC-0201,CUST-0338,SAVINGS,INR,30032.12,ACTIVE,2024-11-07 00:00:00
ACC-0202,CUST-0358,CURRENT,INR,292245.91,ACTIVE,2025-04-13 00:00:00
ACC-0203,CUST-0624,SAVINGS,INR,363969.4,ACTIVE,2026-01-07 00:00:00
ACC-0204,CUST-0582,SAVINGS,INR,317402.78,ACTIVE,2026-02-26 00:00:00
ACC-0205,CUST-0720,CURRENT,INR,235578.75,ACTIVE,2024-09-06 00:00:00
ACC-0206,CUST-0210,SAVINGS,INR,316088.9,ACTIVE,2025-09-03 00:00:00
ACC-0207,CUST-0099,SAVINGS,INR,111151.38,ACTIVE,2025-04-14 00:00:00
ACC-0208,CUST-0862,LOAN,INR,58903.7,ACTIVE,2024-11-02 00:00:00
ACC-0209,CUST-0425,CREDIT_CARD,INR,323946.58,ACTIVE,2024-05-02 00:00:00
ACC-0210,CUST-0408,SAVINGS,INR,28532.62,ACTIVE,2025-04-02 00:00:00
ACC-0211,CUST-0440,CURRENT,INR,457641.64,ACTIVE,2025-10-11 00:00:00
ACC-0212,CUST-0255,CREDIT_CARD,INR,160498.08,ACTIVE,2026-02-11 00:00:00
ACC-0213,CUST-0842,CURRENT,INR,343957.58,ACTIVE,2025-11-22 00:00:00
ACC-0214,CUST-0047,CURRENT,INR,18092.42,ACTIVE,2025-12-19 00:00:00
ACC-0215,CUST-0256,CURRENT,INR,169006.36,ACTIVE,2024-12-31 00:00:00
ACC-0216,CUST-0049,LOAN,INR,408587.6,ACTIVE,2026-04-16 00:00:00
ACC-0217,CUST-0483,CREDIT_CARD,INR,12952.43,ACTIVE,2024-10-14 00:00:00
ACC-0218,CUST-0730,LOAN,INR,94538.27,ACTIVE,2025-12-24 00:00:00
ACC-0219,CUST-0896,CREDIT_CARD,INR,423759.65,ACTIVE,2025-12-07 00:00:00
ACC-0220,CUST-0211,LOAN,INR,108618.65,ACTIVE,2026-02-07 00:00:00
ACC-0221,CUST-0153,SAVINGS,INR,299603.6,ACTIVE,2026-04-13 00:00:00
ACC-0222,CUST-0079,CURRENT,INR,139247.27,ACTIVE,2025-07-18 00:00:00
ACC-0223,CUST-0919,CREDIT_CARD,INR,247296.1,ACTIVE,2025-04-22 00:00:00
ACC-0224,CUST-0443,CREDIT_CARD,INR,137856.59,ACTIVE,2024-12-09 00:00:00
ACC-0225,CUST-0061,LOAN,INR,244647.55,ACTIVE,2024-11-22 00:00:00
ACC-0226,CUST-0030,CREDIT_CARD,INR,231552.46,ACTIVE,2024-04-14 00:00:00
ACC-0227,CUST-0823,CREDIT_CARD,INR,60334.62,ACTIVE,2026-03-17 00:00:00
ACC-0228,CUST-0049,CURRENT,INR,158241.56,ACTIVE,2024-09-22 00:00:00
ACC-0229,CUST-0469,LOAN,INR,378657.26,ACTIVE,2025-12-20 00:00:00
ACC-0230,CUST-0742,CREDIT_CARD,INR,213563.04,ACTIVE,2024-08-29 00:00:00
ACC-0231,CUST-0971,SAVINGS,INR,455390.78,ACTIVE,2026-01-25 00:00:00
ACC-0232,CUST-0483,CREDIT_CARD,INR,18305.83,ACTIVE,2025-01-08 00:00:00
ACC-0233,CUST-0333,LOAN,INR,90537.65,ACTIVE,2025-03-30 00:00:00
ACC-0234,CUST-0832,CURRENT,INR,448314.73,ACTIVE,2025-10-07 00:00:00
ACC-0235,CUST-0765,LOAN,INR,467006.2,ACTIVE,2025-03-17 00:00:00
ACC-0236,CUST-0480,CREDIT_CARD,INR,168338.52,ACTIVE,2025-01-01 00:00:00
ACC-0237,CUST-0034,LOAN,INR,243347.9,ACTIVE,2024-10-12 00:00:00
ACC-0238,CUST-0135,SAVINGS,INR,159115.01,ACTIVE,2025-11-09 00:00:00
ACC-0239,CUST-0530,SAVINGS,INR,223442.87,ACTIVE,2025-03-06 00:00:00
ACC-0240,CUST-0718,SAVINGS,INR,111055.81,ACTIVE,2024-08-26 00:00:00
ACC-0241,CUST-0676,LOAN,INR,80386.55,ACTIVE,2024-07-20 00:00:00
ACC-0242,CUST-0391,CURRENT,INR,230324.54,ACTIVE,2025-02-12 00:00:00
ACC-0243,CUST-0977,LOAN,INR,122362.41,ACTIVE,2024-05-10 00:00:00
ACC-0244,CUST-0978,CREDIT_CARD,INR,111729.42,ACTIVE,2025-08-10 00:00:00
ACC-0245,CUST-0975,CURRENT,INR,241188.45,ACTIVE,2025-12-08 00:00:00
ACC-0246,CUST-0045,CURRENT,INR,72477.96,ACTIVE,2025-02-21 00:00:00
ACC-0247,CUST-0750,CREDIT_CARD,INR,53570.46,ACTIVE,2026-04-24 00:00:00
ACC-0248,CUST-0200,CREDIT_CARD,INR,49728.96,ACTIVE,2024-06-15 00:00:00
ACC-0249,CUST-0054,CREDIT_CARD,INR,104973.53,ACTIVE,2025-05-05 00:00:00
ACC-0250,CUST-0398,CURRENT,INR,259583.48,ACTIVE,2025-12-18 00:00:00
ACC-0251,CUST-0017,SAVINGS,INR,40703.35,ACTIVE,2026-02-09 00:00:00
ACC-0252,CUST-0711,CURRENT,INR,187896.51,ACTIVE,2026-03-21 00:00:00
ACC-0253,CUST-0879,SAVINGS,INR,220985.34,ACTIVE,2025-05-02 00:00:00
ACC-0254,CUST-0254,SAVINGS,INR,470760.79,ACTIVE,2025-12-22 00:00:00
ACC-0255,CUST-0548,SAVINGS,INR,259207.77,ACTIVE,2025-03-31 00:00:00
ACC-0256,CUST-0303,CURRENT,INR,66722.08,ACTIVE,2025-04-23 00:00:00
ACC-0257,CUST-0152,LOAN,INR,473376.76,ACTIVE,2024-05-17 00:00:00
ACC-0258,CUST-0737,CREDIT_CARD,INR,414128.47,ACTIVE,2024-04-08 00:00:00
ACC-0259,CUST-0931,CURRENT,INR,57879.18,ACTIVE,2024-10-13 00:00:00
ACC-0260,CUST-0062,LOAN,INR,294671.03,ACTIVE,2024-10-23 00:00:00
ACC-0261,CUST-0280,SAVINGS,INR,239581.9,ACTIVE,2024-12-09 00:00:00
ACC-0262,CUST-0281,CURRENT,INR,23257.69,ACTIVE,2026-01-25 00:00:00
ACC-0263,CUST-0449,LOAN,INR,213660.58,ACTIVE,2024-06-07 00:00:00
ACC-0264,CUST-0382,CURRENT,INR,397764.3,ACTIVE,2024-05-22 00:00:00
ACC-0265,CUST-0378,SAVINGS,INR,214577.42,ACTIVE,2024-12-10 00:00:00
ACC-0266,CUST-0674,LOAN,INR,138590.93,ACTIVE,2026-02-18 00:00:00
ACC-0267,CUST-0090,CREDIT_CARD,INR,239994.42,ACTIVE,2025-04-12 00:00:00
ACC-0268,CUST-0891,CURRENT,INR,347086.31,ACTIVE,2026-01-23 00:00:00
ACC-0269,CUST-0116,CREDIT_CARD,INR,179321.26,ACTIVE,2026-01-22 00:00:00
ACC-0270,CUST-0152,LOAN,INR,82003.39,ACTIVE,2024-04-20 00:00:00
ACC-0271,CUST-0623,CREDIT_CARD,INR,206623.76,ACTIVE,2025-09-05 00:00:00
ACC-0272,CUST-0231,LOAN,INR,485983.59,ACTIVE,2024-08-21 00:00:00
ACC-0273,CUST-0928,CREDIT_CARD,INR,70006.94,ACTIVE,2024-09-23 00:00:00
ACC-0274,CUST-0844,SAVINGS,INR,445942.99,ACTIVE,2025-01-04 00:00:00
ACC-0275,CUST-0455,LOAN,INR,369100.63,ACTIVE,2025-12-23 00:00:00
ACC-0276,CUST-0570,CREDIT_CARD,INR,80516.52,ACTIVE,2025-03-24 00:00:00
ACC-0277,CUST-0174,SAVINGS,INR,171621.04,ACTIVE,2025-08-18 00:00:00
ACC-0278,CUST-0346,CREDIT_CARD,INR,229526.68,ACTIVE,2024-06-03 00:00:00
ACC-0279,CUST-0078,SAVINGS,INR,321301.39,ACTIVE,2025-11-09 00:00:00
ACC-0280,CUST-0362,LOAN,INR,123346.62,ACTIVE,2025-04-13 00:00:00
ACC-0281,CUST-0008,LOAN,INR,346990.56,ACTIVE,2025-05-10 00:00:00
ACC-0282,CUST-0308,CURRENT,INR,49164.8,ACTIVE,2026-04-24 00:00:00
ACC-0283,CUST-0542,SAVINGS,INR,354112.8,ACTIVE,2024-10-15 00:00:00
